Age,Gender,mRNA/ mRNA/ mRNA,mRNA/ mRNA/ inactivated,inactivated/ inactivated/ mRNA,inactivated/ inactivated/ inactivated
93,M,330,12,60,1630
94,F,408,22,81,3235
94,M,237,10,53,1298
95,F,339,19,58,2599
95,M,180,11,37,890
96,F,224,15,61,2072
96,M,94,4,26,692
97,F,162,5,30,1499
97,M,85,1,11,477
98,F,117,8,19,1153
98,M,52,0,10,295
99,F,62,5,22,789
99,M,31,0,9,193
100,F,41,4,10,498
100,M,20,2,6,148
101,F,30,1,9,359
101,M,9,0,3,82
102,F,13,1,3,225
102,M,7,1,2,59
103,F,7,1,2,151
103,M,2,0,0,30
104,F,7,0,5,83
104,M,3,0,2,16
105,F,1,1,0,58
105,M,0,0,2,10
106,F,3,0,0,29
106,M,1,0,0,8
107,F,2,1,0,26
107,M,0,0,0,2
108,F,1,0,0,15
109,F,1,0,0,7
109,M,0,0,0,1
110,F,0,1,0,3
111,F,0,0,0,2
112,F,0,0,0,1
