Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998492.2139887015,259.6896594185472,487.4294347411768,49.109541045267356,711.5573760935413,0.31368057512082753
2.0,997746.9432269965,391.17308122190883,503.56353215652626,98.44006144388695,1259.8800981812242,0.23767573861968339
3.0,997129.9222622177,508.9772236081392,541.55119171135,150.5494911874756,1668.9998312752239,0.17465258133792555
4.0,996606.7228019797,622.4109448652646,597.8806662444993,207.3754024312975,1965.6101844791656,0.12502439578582575
5.0,996144.6742221563,738.5241264291603,670.672434501914,270.65031702118773,2175.478899891377,0.08761725120161847
6.0,995714.0963064166,862.9321027346863,759.2272055124546,342.0257345043021,2321.7186508318996,0.06027411072108368
7.0,995292.1835230403,999.5214753579353,864.2455999236815,423.0480398484932,2421.0013618295557,0.04093274809602855
8.0,994857.3487580197,1152.3614192106083,986.7616892932613,515.4405950581861,2488.08753841814,0.027485885174359664
9.0,994392.1199992923,1325.109628661088,1128.5387603459712,621.0393749398214,2533.192236760766,0.018238157956915683
10.0,993882.2144448238,1521.3532271919125,1291.9457044383394,741.8677197459929,2562.618903799835,0.012064401555907163
11.0,993312.754880468,1745.1224328578169,1479.7364427523657,880.2358264956073,2582.150417426052,0.00790289513277414
12.0,992670.4111041942,2000.67839609008,1695.2445426565532,1038.738367720442,2594.927589338609,0.005138879099221079
13.0,991941.4011428003,2292.7824812464373,1942.343867915101,1220.3359519241849,2603.1365561138614,0.0033365686140930514
14.0,991110.7947476738,2626.804491637514,2225.4851755537707,1428.4081259668494,2608.5074591679863,0.002141839465646748
15.0,990162.7307634292,3008.7592843381226,2549.790769191825,1666.8044076112108,2611.914775429533,0.0013738621550542125
16.0,989079.3705375083,3445.480157989514,2921.1149945531815,1939.9327734414,2614.10153650753,0.0008746777588970829
17.0,987840.8860699938,3944.671863401192,3346.133768136518,2252.8169784715615,2615.4913199967527,0.0005534129032871007
18.0,986424.9279454143,4515.05341239687,3832.4581065639823,2611.2008484746557,2616.359687150024,0.00035020126246610366
19.0,984806.240870753,5166.474663284562,4388.734269722908,3021.638645595151,2616.911550644252,0.0002194217934437714
20.0,982956.3313271711,5910.024929418496,5024.782434814094,3491.6053321326344,2617.255976463531,0.0001327161959179261
21.0,980843.0744151176,6758.177782596768,5751.729614259346,4029.6233414302337,2617.3948465958365,3.059262159003964e-05
22.0,978430.0989785803,7724.914086289343,6582.161863740355,4645.398987159446,2617.4260842302783,6.9738677590653984e-06
23.0,975676.452448701,8825.852376301702,7530.284796766744,5349.977051765433,2617.4333264647603,1.4632676002279402e-06
24.0,972536.1945429199,10078.367426516963,8612.092756727587,6155.910603509754,2617.4346703255515,4.3500177526163196e-07
25.0,968957.8761782743,11501.696550255505,9845.543627362202,7077.448518991803,2617.4351251159123,8.52541322042873e-08
26.0,964884.0703911415,13117.017280213584,11250.732100424852,8130.744842526741,2617.4353856931198,-1.2366114745076707e-07
27.0,960250.9415717721,14947.489635816664,12850.060948803171,9334.071898447983,2617.435945159759,-5.671366515130647e-07
28.0,954987.949927168,17018.132141293918,14668.43194861546,10708.052063766996,2617.43391915542,1.0495297014339391e-06
29.0,949017.3336380137,19356.022335345628,16733.238996733846,12275.968735013828,2617.4362948928006,-8.705994758992778e-07
30.0,942254.345043078,21989.617317048553,19074.682898365838,14063.920573163887,2617.434168343533,8.694988761607741e-07
31.0,934606.9606868385,24948.841107985972,21725.546562945998,16101.21572633838,2617.435915890872,-5.871050604282154e-07
32.0,925976.4426359214,28264.24193193946,24721.348387761787,18420.531862768377,2617.4351816086883,3.950352049164319e-08
33.0,916257.9901381539,31966.3266136711,28100.009177214746,21058.23966994816,2617.43440101189,6.867389438417566e-07
34.0,905341.6535407382,36084.74402808698,31901.532398490148,24054.633604088143,2617.4364285963557,-1.053638217822397e-06
35.0,893114.512914722,40646.3409539515,36167.68467097364,27454.028660897846,2617.432799454783,2.1253697310988212e-06
36.0,879462.2701086095,45674.46759075843,40940.76049303016,31305.065447034787,2617.436360566929,-1.0461097106265925e-06
37.0,864273.2127381759,51185.627427525265,46263.23189602488,35660.49488678668,2617.433051487134,1.9808769558990864e-06
38.0,847441.1763420891,57188.49844948467,52175.515632062365,40577.37371096238,2617.435865401277,-6.31220121490546e-07
39.0,828871.2595918447,63679.59590702054,58715.19412838061,46116.516523452825,2617.4338493009996,1.3121667530427499e-06
40.0,808484.3765625708,70642.01966774567,65913.7765372351,52342.39222439687,2617.4350080512786,1.1523658743847764e-07
41.0,786224.7442978634,78040.19887601837,73795.56601579109,59322.05593501208,2617.434875314849,1.0772821913165012e-07
42.0,762063.5894215791,85823.2654476917,82370.45195910076,67125.25816028693,2617.4350113412493,5.630006749742985e-08
43.0,736013.2428156035,93905.92358869468,91642.66803093217,75820.73048380762,2617.435080961893,2.8935654570251158e-08
44.0,708128.9857782451,102180.79012623068,101596.60417633875,85476.18481970465,2617.4350994805854,2.2137991497993066e-08
45.0,678497.5110255871,110547.78419022307,112174.86549743751,96162.4041650432,2617.4351217089743,1.147775196864283e-08
46.0,647230.6491110029,118938.02335395021,123257.57933016395,107956.31303389778,2617.435170984987,-1.9552971050226066e-08
47.0,614603.7671725401,127041.27669736405,134849.15653164452,120888.36439705579,2617.4352013953862,-3.966157447871822e-08
48.0,580917.6212274968,134578.31917935176,146903.3810157027,134983.24338906925,2617.435188379293,-3.028135165358386e-08
