Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998474.9047910473,259.6885666336481,487.4293693409156,49.10954297756141,728.867730000596,0.3304303370722085
2.0,997683.0551785816,391.1650506879204,503.56272353544813,98.44003038780653,1323.7770168071943,0.2667835548006447
3.0,997000.1586608023,508.9513236882002,541.5474980694228,150.54924945705102,1798.7932679830215,0.2108677713212488
4.0,996401.8811677514,622.3525651333777,597.8694384288926,207.37448390231378,2170.5223447840613,0.16351332771862884
5.0,995864.0741518232,738.4202669882313,670.642654855271,270.64854682544996,2456.214379507926,0.12469344009844187
6.0,995363.2082659524,862.8720421490135,759.1021515191727,342.0370770530316,2672.780463326354,0.09369458584373047
7.0,994879.3906475016,999.3303375185667,864.0946472769562,423.048282276033,2834.136085426915,0.06955079642911811
8.0,994393.1936071414,1151.8034577888811,986.686000130283,515.3977076037438,2952.919227335777,0.05113421333063885
9.0,993886.1504544237,1324.3946212398737,1128.3657112873668,620.9801330574091,3040.109079991647,0.037249484570376176
10.0,993342.8710678885,1520.4783337694005,1291.6210331354355,741.7887774624535,3103.2407877441888,0.02647856551033037
11.0,992725.3797490604,1743.9805636195088,1479.2482157367929,880.1161842796288,3171.275287303722,0.04616335643505618
12.0,991969.5577108882,1999.163254236863,1694.5523960852145,1038.5607736708605,3298.165865118855,0.08544387902440634
13.0,991019.2575113659,2290.717351923622,1941.3767349786813,1220.0767714192054,3528.571630312492,0.15244230555568045
14.0,989798.4354545658,2623.85958118767,2224.137804040544,1428.035472591899,3925.5316876140737,0.25622351227087015
15.0,988212.7207761396,3004.361898221933,2547.8825154598308,1666.2701371529954,4568.764673025617,0.39808439404014084
16.0,986190.7681928284,3438.649021481282,2918.3364652867094,1939.1670858837406,5513.079234519766,0.5581914536845832
17.0,983708.6864836337,3933.8624622162433,3341.963426229148,2251.713549058335,6763.774078862451,0.705563888580352
18.0,980800.0470619189,4497.944479375195,3826.059584741279,2609.5739616903784,8266.374912274168,0.8200007911125251
19.0,977509.9879915207,5139.903169728926,4378.837152787768,3019.2110477498345,9952.060638212673,0.8966811578347992
20.0,973877.036665455,5869.815152986228,5009.532565057965,3487.95146914795,11755.664147352767,0.948595380141567
21.0,969930.0995332719,6698.877022948002,5728.520727008276,4024.0644238019986,13618.438292969742,0.9656010446813539
22.0,965690.6953945358,7639.666352783696,6547.488387218848,4636.974679864023,15485.17518559753,0.9554774958781896
23.0,961158.7564365914,8706.18159195249,7479.501089735074,5337.328394054924,17318.23248766601,0.9465311478989744
24.0,956285.567949921,9913.761892196242,8539.203809160534,6137.131904125369,19124.334444596643,0.9370088068430614
25.0,951027.5577050432,11279.262214712619,9742.901119817447,7049.964433362249,20900.314527064307,0.9164718967241855
26.0,945451.2264474242,12821.189173130537,11108.692141107851,8091.114189310294,22527.77804902695,0.773984167582975
27.0,939755.7058431938,14560.40496861492,12656.711778381477,9277.773529194368,23749.403880615235,0.5112767111564949
28.0,933996.3917748386,16520.663165812803,14409.422640104796,10629.27590146985,24444.246517773816,0.24420397135593297
29.0,927975.4817721375,18727.55978882042,16391.87861000037,12167.313415324015,24737.76641371756,0.0901585093161174
30.0,921405.4560143948,21207.53645718348,18631.701760525917,13916.226000379811,24839.07976751576,0.02969009602751795
31.0,914078.8531223297,23987.437233261688,21158.968021947312,15903.232725887847,24871.508896573323,0.009378592571682923
32.0,905859.2979020701,27094.403954952737,24006.03005057745,18158.677149516283,24881.590942883155,0.002937903262228792
33.0,896636.2467516281,30555.464128253298,27207.326116432654,20716.24447353757,24884.71853014816,0.000919602229451606
34.0,886305.3447011482,34396.7232112533,30799.087692970003,23613.156336302804,24885.688058325468,0.00028881092676726907
35.0,874762.5608009604,38642.232023500874,34818.88843434891,26890.329248907,24885.989492282606,9.11362586437824e-05
36.0,861903.9054296121,43312.5429654747,39304.98948861208,30592.478323877815,24886.083792423004,2.878058223247447e-05
37.0,847627.3520939164,48422.951099100224,44295.44037999952,34768.14319696345,24886.113230020146,9.139579518131023e-06
38.0,831835.9448908216,53981.39262496263,49826.93701728989,39469.603548715306,24886.121918210334,3.293527721087961e-06
39.0,814441.6753108179,59986.3016527407,55933.187501279135,44752.710025341556,24886.125509820493,8.430436819569077e-07
40.0,795370.5529831967,66423.4100684689,62643.52687316104,50676.38417697654,24886.12589819659,5.823365951905794e-07
41.0,774566.9667915861,73265.02086212512,69979.4892975362,57302.3964752055,24886.126573546844,3.178131661074344e-07
42.0,752001.7252836645,80462.66379982681,77955.73107160957,64693.75285040805,24886.12699449083,2.7739055769305504e-07
43.0,727671.4436422429,87959.81487320214,86566.5747595789,72916.03938782809,24886.127337147747,2.0628567038091531e-07
44.0,701578.9383376022,95742.47720242491,95746.9024668404,82045.55439287983,24886.12760025252,1.6130950156109283e-07
45.0,673847.090938623,103606.13573125633,105531.84372676372,92128.8018041534,24886.12779920343,1.2880083305431058e-07
46.0,644638.2915914215,111340.92907956554,115926.57658441018,103208.07479383473,24886.127950767896,1.0495324858965378e-07
47.0,614127.3415922096,118791.62199215629,126864.16668787834,115330.74165934525,24886.128068410355,8.704648142980135e-08
48.0,582501.4533872949,125857.60533876695,138205.56728830384,128549.24582334189,24886.12816229225,7.344641437102613e-08
49.0,549960.2505730806,132492.89611407055,149739.61923985957,142921.1058337171,24886.12823927204,6.360507974319453e-08
50.0,516756.6391897418,138615.89737753043,161251.26666791944,158490.06846133264,24886.128303475434,5.705418290048504e-08
51.0,483297.46629144787,143894.43694645865,172695.82409064865,175226.14431340626,24886.1283580384,5.250257657001033e-08
52.0,449980.58503562794,148050.95173559454,183998.02613762795,193084.30868580734,24886.12840534198,4.94613378985207e-08
53.0,417151.48234903195,150932.78365245892,195005.41693474297,212024.18861650286,24886.128447263043,4.7609850425435664e-08
54.0,385103.3279451127,152512.02300055602,205488.4734140468,232010.0471551079,24886.128485176287,4.679076766167239e-08
55.0,354076.9743240262,152885.50847937333,215140.6053137602,253010.78336288565,24886.12851995424,4.701001308964566e-08
56.0,324300.8783015083,152163.79236705435,223672.1140373776,274977.086741859,24886.12855220059,4.830714672430722e-08
57.0,296057.9263948159,150218.74267463858,231074.90161591137,297762.30073192425,24886.128582709698,5.0476135390684605e-08
58.0,269545.5378078164,147028.1196979874,237328.60588564808,321211.60799658584,24886.128611962147,5.3395466492723855e-08
59.0,244885.0055811652,142672.76628605858,242366.8613882473,345189.23810423946,24886.128640289317,5.697808411201011e-08
60.0,222122.61754553617,137333.8885885177,246079.1508710312,369578.2143270342,24886.12866788056,6.116779762854571e-08
61.0,201229.65632162147,131293.05605573778,248310.80528698492,394280.3536408724,24886.128694783212,6.59392817207502e-08
62.0,182163.95754993672,124772.61527750334,249003.5800379945,419173.7184135328,24886.128721032426,7.118834180530802e-08
