Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998540.8875959101,259.6911768049947,487.43056757097213,49.10931605026502,662.8813436636528,0.2677157648145997
2.0,997916.7087404606,391.1948024346081,503.5658811669565,98.44012456329449,1090.0904513745286,0.165877994543355
3.0,997451.3965376938,508.9479992664837,541.6177826579311,150.53688732231157,1347.500793059417,0.09687811032587448
4.0,997077.9914330229,622.4861548675506,597.950248257935,207.36843116557705,1494.2037326860368,0.054339869148531075
5.0,996743.9555910636,738.8685711900996,670.685560551122,270.66875691932836,1575.8215202758054,0.029575575075440206
6.0,996415.8900040824,863.3084382078243,759.3700287722676,342.0359718978191,1619.3955570397395,0.015872124572192784
7.0,996069.473431606,1000.181296946406,864.4281964895367,423.0858375471267,1642.8312374110299,0.008361069589844531
8.0,995689.1104747414,1153.2935521747143,987.0547810114167,515.5066853932924,1655.0345066792418,0.004378162743482653
9.0,995262.1070962715,1326.3172947264447,1129.020033782016,621.14031420739,1661.41526101273,0.0022672696229573126
10.0,994777.6667237099,1522.9705409050978,1292.6320441545654,742.0315108382076,1664.699180392244,0.0011851246203097316
11.0,994220.007327573,1747.2013116756355,1480.7050731943427,880.4814505898879,1671.6048369671,0.007801041348021427
12.0,993543.4960962782,2003.3091875546413,1696.5699385405544,1039.098319106348,1717.5264585201624,0.050810857000036916
13.0,992554.535799564,2296.0063973981737,1944.0985113435552,1220.8502670161329,1984.509024678117,0.2665242080695025
14.0,990763.9626113413,2630.297690301295,2227.7228274936465,1429.1206190331623,2948.8962518306553,0.7093509946087933
15.0,988134.9206022226,3011.468153533096,2552.4274641277943,1667.763522196889,4633.420257919722,0.9425074003714096
16.0,985135.0371721645,3445.6535297552864,2923.801842298137,1941.1609568244326,6554.346498957673,0.9912577255682051
17.0,981943.516334952,3940.023473499742,3348.173253873259,2254.289560831177,8513.997376843952,0.9986020923311262
18.0,978578.2918261363,4502.668940576057,3832.7213074326733,2612.800458416031,10473.517467439046,0.9996165077205824
19.0,975021.9368016885,5142.630653926972,4385.572905820808,3023.1096417023655,12426.749996861361,1.0000067458535002
20.0,971248.4202289133,5869.9828503558665,5015.9006165828205,3492.49763250726,14373.198671640874,0.9998163379984515
21.0,967229.4192553272,6695.922323805987,5734.02847715803,4029.2162551024308,16311.413688606468,0.9998348161434039
22.0,962931.56467771,7632.946060355562,6551.495194840302,4642.632846879202,18241.36122021507,0.9998771853393376
