Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998525.0506579381,259.69127757603513,487.4298416017482,49.10947188485075,678.7187509993068,0.2824712338713093
2.0,997863.1681635939,391.1879149742077,503.5650856448926,98.44011240328055,1143.6387233838418,0.18754513402039977
3.0,997353.663683611,508.97248063939344,541.5880191711219,150.5429091354399,1445.2329074431468,0.11843179078622686
4.0,996940.6793698523,622.4565590273302,597.9329516235273,207.36959533432767,1631.56152416251,0.07203986607016118
5.0,996576.5549514513,738.7587321034368,670.6860258340246,270.66214435348917,1743.3381462577343,0.04269793829841713
6.0,996226.4143643411,863.1767556660897,759.3415364791701,342.0294387321186,1809.03790478154,0.024814870559249552
7.0,995865.6101068095,999.995972543236,864.3754900375684,423.0746800159342,1846.9437505936417,0.01421844094243154
8.0,995475.9823238908,1153.0456094395618,986.9660375448116,515.4883411775205,1868.5176879473117,0.008064526674576036
9.0,995043.3249614175,1325.989542497845,1128.886221838983,621.1107461677701,1880.6885280778802,0.004535605397900392
10.0,994555.4914977229,1522.5467839187017,1292.4393734798641,741.9857745604635,1887.536570318064,0.0026886516271605243
11.0,993996.6401249834,1746.6595717286732,1480.4390271555435,880.4129767230992,1895.8482994092742,0.006083535352206498
12.0,993347.8594201618,2002.6298398695044,1696.2129494754395,1038.998814471449,1914.2989760218536,0.013436114557156258
13.0,992585.7189519496,2295.231474219093,1943.6350980765385,1220.7103515916654,1954.704124163091,0.029211275011717455
14.0,991672.6715719318,2629.799438760326,2227.1716951431913,1428.928975284506,2041.4283188800905,0.062103428193984164
15.0,990547.2729815987,3012.319514228846,2551.9426386857253,1667.518972385773,2220.9458931009062,0.12602870461740892
16.0,989111.8351726888,3449.476249725161,2923.7838688596207,1940.8863076657865,2574.018401060637,0.23944912635028176
17.0,987243.337940311,3948.688351194703,3349.3226930265596,2254.0639994528196,3204.587016014926,0.40584719944931935
