Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998541.3571652666,259.69121257364196,487.43056675110256,49.10931656530937,662.4117388433161,0.2672826748656457
2.0,997918.2642715853,391.1950074155392,503.56590260330853,98.44012543217374,1088.5346929636967,0.16526585000849406
3.0,997454.1824182419,508.94773044414273,541.6183854636971,150.5367737666938,1344.714692083602,0.09628709335498514
4.0,997081.8436236891,622.4877029314484,597.9503291615711,207.36849362533013,1490.3498505924583,0.05386390111092222
5.0,996748.629336857,738.8706605281999,670.6861430269188,270.6688056000428,1571.1450539878529,0.029228699103103748
6.0,996421.1286624261,863.312366937063,759.3707078084143,342.036189877819,1614.1520729505387,0.01563355139129357
7.0,996075.1036191542,1000.1862450130238,864.4298147201553,423.08612052381,1637.194200588818,0.008205576244861528
8.0,995694.9831766046,1153.3005714720305,987.0572155543404,515.5072210445345,1649.1518153245283,0.004277866060078078
9.0,995268.1380927193,1326.3262742856114,1129.0238517497373,621.1411274994379,1655.3706537460523,0.002205673839031773
10.0,994783.8141343789,1522.9830546129515,1292.6372052525878,742.0329751210418,1658.5326306345057,0.001103191472923847
11.0,994231.006463723,1747.2169153868836,1480.712703859853,880.4833682441039,1660.580548786172,0.0010856267878920699
12.0,993598.1124030419,2003.3410633595095,1696.5809389887293,1039.10118034125,1662.8644142686744,0.0012131280831140436
13.0,992873.3021167155,2296.349164304917,1944.0388924968306,1220.9048648335781,1665.4049616493016,0.001345443863715911
14.0,992043.0882849362,2632.043312089824,2227.307088530163,1429.3516039250403,1668.2097105188848,0.0014811349720176038
15.0,991093.2366583272,3015.5774367275976,2551.8366291695825,1668.0662959501267,1671.2829798256366,0.0016184189226552056
16.0,990006.8255630928,3453.310594911065,2923.838578849067,1941.4000155850254,1674.6252475621163,0.0017554702281217644
17.0,988764.0619269777,3953.0044302501638,3350.217395100607,2254.4831359512673,1678.23311172036,0.001890448332379667
18.0,987342.2812792663,4523.823173271942,3838.570928554206,2613.2253286157243,1682.099290291881,0.002021497610860641
19.0,985715.9477507834,5176.3336414205605,4397.19042293788,3024.3155635906096,1686.2126212676694,0.002146747370465752
20.0,983856.6475911113,5922.482993597997,5035.082902727273,3495.222657745483,1690.563854818048,0.0022864074380642857
21.0,981734.8093826144,6774.099988937363,5763.752646120503,4034.3525261824925,1692.98545614523,0.0005123915713461375
22.0,979314.032351849,7744.606341816357,6596.429690432448,4651.438262261031,1693.493353641173,0.00010888808867228489
23.0,976551.6991151613,8849.778637631704,7547.3438902591815,5357.577687061489,1693.6006698863296,2.305190186317649e-05
24.0,973401.3228910033,10107.133294606478,8632.53991437503,6165.380901408482,1693.6229986067297,5.07154010130497e-06
