Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998572.4584368845,259.68513296736836,487.4354906618362,49.1082026294124,631.3127368567643,0.23890333918505535
2.0,998018.4459535627,391.20810329921903,503.56750789652716,98.44013584422402,988.3382993970763,0.12760978248353452
3.0,997626.6227513852,508.9688631509103,541.634471847461,150.53478164780608,1172.2391319684784,0.06322363175815973
4.0,997310.8201003101,622.5809581549589,597.9573343658213,207.37207124267516,1261.2695359262466,0.029910230951598303
5.0,997016.8333694574,738.9998876292397,670.7208750589159,270.6725365616891,1302.7733312925752,0.013769903409220682
6.0,996713.3056869805,863.5200102128283,759.4264403394058,342.0462451540698,1321.7016173130569,0.006228405527268936
7.0,996381.6732563175,1000.4703315008989,864.5281212999085,423.1034520996879,1330.224838781874,0.0027728662350383596
8.0,996009.5774537025,1153.6847608742312,987.2082471135764,515.5372141016014,1333.9923242080472,0.0012229729997039066
9.0,995587.0928347541,1326.8298518968058,1129.2446881589249,621.1896342002616,1335.6429909897167,0.0005351049152766132
10.0,995104.9491651763,1523.6311506227707,1292.9464750111754,742.1076750652969,1336.365534124343,0.0002454552828529134
11.0,994553.2240144564,1748.0415413733374,1481.132117944741,880.5944915786112,1337.0078346467044,0.00042242182446883454
12.0,993921.1013598044,2004.3779796352107,1697.1372865339588,1039.2608476453538,1338.1225263808901,0.0007250447739511817
13.0,993196.6053437669,2297.441744594659,1944.8467867167878,1221.080323891713,1340.0258010298498,0.0012328739796989346
14.0,992365.9820287344,2632.6070323482636,2228.7406381663886,1429.438712349555,1343.2315884012357,0.002074148101689723
15.0,991413.2854703721,3015.925761666881,2553.971837111806,1668.203590538019,1348.6133403110116,0.0034623306306183653
16.0,990319.9347322673,3454.2921859196185,2926.4186352819765,1941.8074316915026,1357.5470148394375,0.005722729174297807
17.0,989064.320180765,3955.4548973616,3352.7893756043595,2255.2943614713577,1372.1411847976,0.009347309676497918
18.0,987620.8503374493,4528.1250867116905,3840.743743941458,2614.414987873462,1395.86584402393,0.015130158477945358
19.0,985958.869081667,5182.228384928637,4398.988895553514,3025.7762086797347,1434.1374291709872,0.024238223624599996
20.0,984042.2260922936,5928.913305989036,5037.3564535587075,3496.8813704615227,1494.6227776970295,0.03525164158032525
21.0,981888.5183474552,6780.687173072751,5767.0433300167,4036.290031455429,1527.4611180000343,0.0069691065377145665
22.0,979459.4228482828,7751.682962504098,6600.703325304142,4653.753991142052,1534.4368727669194,0.0015043946745374574
23.0,976693.4261873206,8857.639187014443,7552.629129023325,5360.370897399698,1535.9345992420156,0.0003195411234784987
24.0,973540.0328397339,10116.044811050446,8638.91580193696,6168.756320358121,1536.2502269207648,6.787951840349734e-05
25.0,969946.5580642888,11546.26025404169,9877.634859366577,7093.232739462695,1536.3140828403616,1.1346989692777238e-05
26.0,965855.0357764389,13169.597728503686,11289.010692512758,8150.0359327405,1536.3198698042795,2.1188783951569394e-06
27.0,961201.1909188777,15009.357373955998,12895.59151634771,9357.539024143634,1536.3211666751126,1.2028820482596784e-07
28.0,955913.9790799596,17090.801930371155,14722.405339066388,10736.492506008353,1536.3211445946872,1.5494773454000408e-07
29.0,949915.2605544284,19441.050768309935,16797.088697130454,12310.2795107457,1536.3204693855992,1.2214220590198156e-06
30.0,943119.668417002,22088.857673311537,19149.972190576445,14105.180576112023,1536.3211429980893,1.609339364734754e-07
31.0,935434.6757914309,25064.253960494872,21814.103142629225,16150.645859195633,1536.3212462493927,-3.313400921221327e-09
32.0,926760.9372223412,28397.997155392633,24825.180304856145,18479.563674772362,1536.3216426376548,-6.462750881528423e-07
33.0,916992.9914649883,32120.799415628044,28221.369451344337,21128.51723333332,1536.322434705964,-1.958259245005985e-06
34.0,906020.4126303571,36262.28510834443,32042.96568423716,24138.015736724235,1536.3208403371261,6.602448246208697e-07
35.0,893729.5018732256,40849.6416430563,36331.850404207966,27552.685071799242,1536.3210077110493,3.906022087811466e-07
36.0,880005.674504207,45905.89299604412,41130.72543339432,31421.385847448782,1536.3212189057947,3.66964746464921e-08
37.0,864736.5662518629,51447.8216985108,46482.04475248779,35797.246520551715,1536.3207765867678,8.010120419920185e-07
38.0,847815.9778516005,57483.51666478458,52426.611756313025,40737.57341288927,1536.3203144125857,1.626680933153259e-06
39.0,829148.70021438,64009.55806853985,59001.824195983136,46303.59655129649,1536.3209698003925,4.862773802172519e-07
40.0,808656.1373747191,71008.00045231127,66239.51158147551,52560.02948791618,1536.3211035778506,9.891995023304202e-08
41.0,786282.5978810547,78443.39046238983,74163.2788799798,59574.41158145307,1536.3211951226174,5.788445646266945e-08
42.0,762002.4655626605,86258.94380428155,82786.24359411465,67416.02578827269,1536.3212506706507,2.5993528910129407e-08
43.0,735813.1805134738,94404.30596995325,92086.69217196791,76159.50001518338,1536.321329421681,-2.2699076970600074e-08
44.0,707751.3866784394,102811.07464795315,102020.44694129203,85880.77022046156,1536.3215118538128,-1.38728456477774e-07
45.0,677973.8160363266,111234.7712065245,112627.56887984292,96627.52229766236,1536.3215796436034,-1.8353893341026195e-07
46.0,646661.6576146599,119469.52304542628,123882.69371118967,108449.80418947533,1536.3214392488435,-9.710618683319101e-08
47.0,614012.945463291,127364.7612828604,135683.40147371008,121402.57062965154,1536.3211504869444,8.374400688890309e-08
48.0,580242.5586543992,134825.22075547167,147850.21652059056,135545.68314300355,1536.3209265349399,2.2533577409207614e-07
49.0,545586.8113980065,141800.0315735791,160134.9308020022,150941.90513143045,1536.321094981815,1.1542210569967798e-07
50.0,510411.6913622006,148052.98314849788,172395.4216049742,167603.5823992448,1536.3214850825573,-1.6715441826740337e-07
51.0,475177.7530415442,153219.97682288152,184578.93114143913,185487.01730598073,1536.3216881544558,-3.306949439814691e-07
52.0,440294.9232021347,157064.55467644386,196554.50783327973,204549.69275011803,1536.3215380237273,-2.455278749264621e-07
53.0,406115.6746367578,159487.33790589793,208107.3575312764,224753.3088190151,1536.3211070527898,4.414399324855163e-08
54.0,372935.02616488736,160526.0268249562,218938.84351510718,246063.78278890904,1536.3207061402634,3.2024347272938553e-07
55.0,340999.3550544937,160331.9952334492,228685.09807173992,268447.2308492211,1536.3207910961078,2.516386174086903e-07
56.0,310612.4227687708,158845.32409800807,237216.18026833687,291789.7518726187,1536.3209922657136,7.011841887353806e-08
57.0,282033.3859672487,155982.01792111268,244529.37451478676,315918.90049834014,1536.3210985117698,-3.702586781944868e-08
58.0,255427.3585335523,151789.91023924138,250565.50595613438,340680.9041793179,1536.3210917541674,-3.173426418290696e-08
59.0,230874.55253501132,146429.0994299606,255217.89734250243,365942.1296834836,1536.3210090421694,5.611733871196696e-08
60.0,208370.27822266106,140171.9487119248,258332.3690290915,391589.08309376845,1536.3209425544126,1.2871718023541795e-07
61.0,187851.97522123076,133336.55573130882,259763.6373989408,417511.5106683588,1536.3209801608255,7.844624548634747e-08
62.0,169296.52926012225,125999.46282391938,259646.8634754395,443520.8234224626,1536.3210180563033,1.2375937652194989e-08
63.0,152622.283838748,118270.834618344,258133.38829469285,469437.1722138982,1536.3210343169817,-1.56167720037947e-08
64.0,137720.00029223203,110296.79956749493,255335.25066608324,495111.62844526884,1536.321028921038,5.504157419931269e-09
