Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998557.1648391706,259.6895212810674,487.4322394291316,49.10894200505085,646.6044581140357,0.2527626672077663
2.0,997969.9794179829,391.20166840931836,503.56674768637555,98.44012464170792,1036.8120412796518,0.1453392625281391
3.0,997544.8866869014,508.9530514770837,541.6300108129526,150.5349651023921,1253.9952857060518,0.07808584340155117
4.0,997204.2323154126,622.5396567996079,597.9521857824274,207.37076296157883,1367.9050790437989,0.040158011321826836
5.0,996893.9714473994,738.9356869091206,670.7063833076454,270.670229940204,1425.7162524436717,0.020070144602360687
6.0,996580.7454401231,863.4287381735352,759.3972114331681,342.04218928853584,1454.3864209816402,0.009827795403172543
7.0,996243.8262232248,1000.3392321926156,864.4822868823924,423.0952273043109,1468.2570303959249,0.004769122559430371
8.0,995868.8528431016,1153.5095392369426,987.1376764814602,515.5231933454247,1474.9767478345518,0.002281092741463702
9.0,995444.910691601,1326.6015702842267,1129.1422192838968,621.167186471098,1478.1783323598358,0.0010790148209519988
10.0,994962.0967226198,1523.3371376720904,1292.8043709087387,742.0730138786992,1479.6887549206817,0.000547685192550182
11.0,994410.0539622752,1747.6684473428809,1480.940209611687,880.5431590678575,1480.7942217024154,0.0005779156945314547
12.0,993778.0625294321,2003.9104626307767,1696.8837524967214,1039.18762935017,1481.9556260902798,0.000588426334091065
13.0,993054.5186178276,2296.8532769745116,1944.5174656670029,1220.975587847267,1483.1350516836767,0.0005979923203004758
14.0,992226.1707675752,2631.8825558130657,2228.3213118990693,1429.2977211942678,1484.3276435185523,0.0006025915753519191
15.0,991277.9752412883,3015.048775436491,2553.4362357204477,1668.0164549895944,1485.5232925652087,0.0006021548341989556
16.0,990192.7652292812,3453.219256670063,2925.7474286739507,1941.5561715821743,1486.7119137927914,0.0005967454661985947
17.0,988951.0362645317,3954.1535660641193,3351.962664633949,2254.963845388898,1487.8836593814917,0.0005865564745254514
18.0,987530.6374524923,4526.6039262528775,3839.7305261815436,2613.998875854637,1489.0292192187908,0.000571900290854783
19.0,985906.3773061265,5180.488690459161,4397.745596375097,3025.2483828751833,1490.1400241640806,0.0005531936846499027
20.0,984049.735634302,5926.962704373975,5035.878350655829,3496.217312659389,1491.205998008947,0.0004833427068178984
21.0,981929.003167,6778.57519537593,5765.318846808119,4035.4659101119314,1491.6368807041827,7.42662105035028e-05
22.0,979507.4319310024,7749.395940096797,6598.724519144675,4652.744781870326,1491.7028278858859,1.1921609765741416e-05
23.0,976743.609050644,8855.143349205759,7550.383719344933,5359.150607910231,1491.7132728952377,1.9834371157840522e-06
24.0,973591.2950322861,10113.306032960278,8636.38607383886,6167.297686755727,1491.715174159174,1.6017494688171167e-07
25.0,969998.7317412999,11543.247054767657,9874.798168412255,7091.506867924139,1491.716167596283,-1.2592249006286133e-06
26.0,965908.1568557809,13166.278091566637,11285.841411020238,8148.009385664498,1491.7142559679621,1.3965136720963059e-06
27.0,961255.3452201493,15005.70134145437,12892.060747496309,9355.177337471376,1491.7153534287763,-1.355349192215592e-07
28.0,955969.2598830893,17086.786217965197,14718.480260774993,10733.758333776123,1491.7153043945132,-6.662735949842951e-08
29.0,949971.7647483626,19436.651996315144,16792.735497992722,12307.132086795033,1491.7156705346724,-5.934099950440739e-07
30.0,943177.4991033272,22084.05373558257,19145.157704297144,14101.574574938533,1491.7148818547207,5.401386073899778e-07
31.0,935493.9285403639,25059.030604522777,21808.792440075984,16146.533902824722,1491.714512212761,1.0853827138047532e-06
32.0,926821.7047804145,28392.345471463203,24819.339128614298,18474.89467845818,1491.7159410499771,-1.0103319498078088e-06
33.0,917055.3650285695,32114.71549118162,28214.96730066028,21123.235928249458,1491.716251339283,-1.4961054009647185e-06
34.0,906084.4658606701,36255.78072049763,32035.973520013646,24132.06509809983,1491.7148007189621,6.792607858283543e-07
35.0,893795.2955162362,40842.73810292809,36324.2472669295,27546.004599469885,1491.714514436541,1.1317420397273892e-06
36.0,880073.2447308348,45898.62960916223,41122.49747254488,31413.91361143084,1491.7145760274157,1.0551390417015842e-06
37.0,864805.9160234646,51440.26252483288,46473.18583897496,35788.920732788196,1491.714879939568,5.947525102712545e-07
38.0,847887.0770460468,57475.74566933217,52417.12960150202,40728.33177918746,1491.7159039317235,-1.0571945242486538e-06
39.0,829221.4800247296,64001.6754900937,58991.75176792273,46293.37658425614,1491.716132997984,-1.482858922258912e-06
40.0,808730.4715964505,71000.13675767375,66228.90444668803,52548.773123873936,1491.714075313917,2.0633922745449053e-06
41.0,786358.3601832616,78435.55603712212,74152.32495561108,59562.042849340636,1491.7159746648172,8.619614169810496e-07
42.0,762079.1976721226,86251.80915155356,82774.69949137398,67402.57681930086,1491.7168656492845,3.4285439206835495e-07
43.0,735903.9520191923,94369.22137069945,92094.81762334566,76140.29179482404,1491.7171919388675,1.509921854224208e-07
44.0,707876.8464412984,102704.09920459543,102079.8679720787,85847.46862606914,1491.7177559586553,-2.3211920108495466e-07
45.0,678114.0308407332,111098.02414095975,112709.93551269805,96586.29149779372,1491.7180078155545,-4.07845459450508e-07
46.0,646783.184341749,119372.69379458342,123939.53427813912,108412.87008737048,1491.7174981582707,-4.994038284862634e-08
47.0,614084.4789510646,127372.33733308731,135668.71263280243,121382.75433840041,1491.7167446454644,4.833012700052739e-07
48.0,580250.4714302252,134963.27237516714,147743.96049922972,135550.57857386355,1491.7171215146402,1.8697229819252393e-07
49.0,545586.6503641754,141952.1455524723,160020.31605633936,150949.1697425235,1491.7182844897013,-8.335276498091809e-07
50.0,510480.76640620467,148060.21034715557,172390.01833838187,167577.2864328472,1491.718475410928,-1.0081560547827463e-06
51.0,475308.4108163204,153083.80006584522,184689.56885067606,185426.5029424691,1491.7173246894417,4.1721122318244015e-08
52.0,440424.3114207934,156908.7031188761,196691.73590675666,204483.5335894169,1491.715964157179,1.30205934889752e-06
53.0,406165.03559629293,159500.65541438313,208113.9650326976,224728.6273095748,1491.716647051705,5.996036328417462e-07
54.0,372894.00785891095,160755.54640236718,218762.4179776957,246096.30963772297,1491.718123303369,-1.2367972357902965e-06
55.0,340960.3704422807,160555.56595552756,228515.10041626397,268477.2448028346,1491.7183830933245,-1.5571841711807657e-06
56.0,310634.2446801672,158894.9154135459,237216.13592699586,291762.98682221473,1491.7171570764222,1.4716447541875534e-07
57.0,282104.7630924967,155880.91579191588,244674.3964548686,315848.20891124255,1491.7157494762569,2.1426665836937363e-06
58.0,255487.3668741382,151714.2966525556,250680.10253748434,340626.51749265846,1491.7164431634958,1.1076161614601365e-06
59.0,230883.87495956526,146500.12738089866,255181.0800224633,365943.2001216326,1491.7175154402937,-9.164941186910401e-07
60.0,208338.65808311797,140353.40912140493,258188.88604355505,391627.3291488384,1491.7176030837886,-9.955605307901716e-07
61.0,187835.88781198754,133447.6486771147,259700.20919890967,417524.53751353134,1491.716798456946,9.06264280509601e-07
62.0,169304.1852525028,126005.44482694275,259702.2692324381,443496.3843733852,1491.716314731193,2.107176997001328e-06
63.0,152637.21783126006,118248.22340158974,258216.08825908636,469406.7534639815,1491.7170440825432,6.897937104526197e-08
64.0,137728.99702941783,110306.09667928655,255372.70629686076,495100.4825468103,1491.7174476247249,-1.235102996455783e-06
65.0,124450.54077172757,102319.16999611961,251296.37306697946,520442.19900618034,1491.7171589932395,-3.875299942559025e-08
66.0,112664.27651744182,94423.90979588042,246104.09345994756,545316.0035831801,1491.7166435503434,2.041847429531141e-06
67.0,102226.04372647306,86747.54299435079,239911.3597639998,569623.3366093194,1491.7169058571726,9.57315706915679e-07
68.0,93000.49469199416,79367.87179947454,232870.93341094683,593268.9828722681,1491.717225316561,-6.406216170392594e-07
69.0,84858.06609114537,72344.83810849336,225131.05923176638,616174.3194569218,1491.7171116733653,1.331219064871423e-07
70.0,77677.74324425726,65724.39014724601,216829.85857026378,638276.2911518047,1491.7168864284567,1.5604059232663583e-06
71.0,71348.20432051702,59535.11722036601,208099.58105802786,659525.3802604139,1491.7171406754271,-2.815486936468364e-07
72.0,65767.98649169902,53789.89672893151,199065.1344661999,679885.265042311,1491.7172708586113,-1.3171269293355765e-06
73.0,60845.89223160576,48491.41043920436,189838.91710223176,699332.0631846586,1491.7170422996762,7.762555101475891e-07
74.0,56501.38024408137,43631.31206624758,180524.5648614006,717851.0259025221,1491.7169257484659,1.890688985404536e-06
75.0,52663.33611086418,39193.52578809952,171214.0805471807,735437.3404039468,1491.71714990893,-3.954209255724715e-07
76.0,49268.45554759374,35159.64719147106,161983.84219024127,752096.3379592239,1491.717111470241,1.3841158239545438e-07
77.0,46261.557560216286,31506.357992281435,152901.0412766933,767839.3261528545,1491.7170179546467,1.2974352187641981e-06
78.0,43594.65826419466,28207.336561347616,144022.880411588,782683.4075945719,1491.7171682978997,-7.342450512640459e-07
79.0,41225.653524241716,25237.171575139408,135393.42548997927,796652.0322889278,1491.7171217119158,5.9420354380218425e-09
80.0,39117.930630738905,22569.32888594495,127049.16857822271,809771.8548740279,1491.7170310657489,1.403547813881995e-06
81.0,37239.812893297974,20176.971542961935,119019.11448551757,822072.3838624232,1491.7172157994473,-1.7733844113822257e-06
82.0,35563.57886018037,18035.903985549914,111322.17821510395,833586.6217954132,1491.7171437527231,-4.1868609077415683e-07
83.0,34065.116150397975,16122.405617309192,103972.16475311357,844348.5965157921,1491.7169633874028,2.9373040439717596e-06
84.0,32723.57476752799,14413.553266240691,96978.05353727829,854393.1012996769,1491.7171292762139,-2.3398131416898644e-07
85.0,31520.674559237596,12889.125409578819,90342.33004734448,863756.1529099807,1491.7170738585721,9.760505010291563e-07
86.0,30440.504793944554,11529.98684650055,84064.27647998203,872473.5147701306,1491.7171094423713,2.070494190266791e-07
87.0,29469.184199428157,10318.755987339118,78139.55757438643,880580.7851190878,1491.717119758697,6.728782464054925e-09
88.0,28594.55416026068,9239.648860004796,72561.0971048228,888112.9827777864,1491.7170971255312,5.392153162968412e-07
89.0,27805.983246762436,8278.233554969924,67319.82877132505,895104.2372658284,1491.7171611143383,-1.0710803296440937e-06
90.0,27094.128042270175,7421.777753852949,62404.56518036104,901587.8119445731,1491.7170789429301,1.0689931691986726e-06
91.0,26450.77916294617,6658.565149971457,57803.29047387106,907595.6480932697,1491.717119941894,-3.470896995215957e-08
92.0,25868.712785673237,5978.247577477219,53502.82077017125,913158.5017402484,1491.7171264300284,-1.8638742732419937e-07
93.0,25341.54387392988,5371.603024585091,49489.351616424196,918305.7844002966,1491.7170847644168,9.927156141490453e-07
94.0,24863.63582600347,4830.3311146680535,45748.84128706753,923065.4746190901,1491.7171531710405,-1.0093530348667933e-06
95.0,24429.99183538549,4347.152472183418,42266.96451196582,927464.1741154416,1491.717065023863,1.652059309136382e-06
96.0,24036.178585915917,3915.50139238354,39029.58128913337,931527.021572146,1491.717160421394,-1.311418498015151e-06
97.0,23678.25629236268,3529.6334209430815,36022.623178327936,935277.7700177913,1491.7170905750984,9.285153433013869e-07
98.0,23352.712587709797,3184.413280656433,33232.384751600395,938738.7722642107,1491.7171158228864,9.11117726712878e-08
99.0,23056.417223797627,2875.3024262624526,30645.535849212265,941931.0273685121,1491.7171322157558,-4.248097427167937e-07
100.0,22786.570038469756,2598.298001933169,28249.185715615484,944874.2291708649,1491.7170731169033,1.5603478213552588e-06
101.0,22540.665449265223,2349.835750350515,26030.978615928416,947586.8030464351,1491.7171380209204,-6.471047959271773e-07
102.0,22316.456720324128,2126.7841809026386,23979.07429505,950085.9677254661,1491.7170782573583,1.4417425886518512e-06
103.0,22111.92599255841,1926.3552722399743,22082.215759263134,952387.7858427494,1491.7171331892944,-4.955879148011271e-07
104.0,21925.259171294565,1746.0957344174822,20329.706116745896,954507.2218866071,1491.7170909350805,1.0305775513407558e-06
105.0,21754.82209051608,1583.8226765208287,18711.436699169943,956458.201396147,1491.7171376463539,-6.763262168909423e-07
106.0,21599.141898628637,1437.613664961123,17217.862276638545,958253.6650731849,1491.717086586978,1.2236569527643462e-06
107.0,21456.88813955196,1305.7551722348323,15840.008607394086,959905.6309282127,1491.7171526066918,-1.2682479114406526e-06
108.0,21326.85930943543,1186.7384957230286,14569.4426622618,961425.2424641942,1491.7170683857512,1.95240383493698e-06
109.0,21207.967043238958,1079.2156708596997,13398.268167719381,962822.8319549614,1491.7171632207185,-1.719264945124538e-06
110.0,21099.22690042778,981.9979146451002,12319.0958035608,964107.9623211974,1491.7170601691407,2.3222200350308662e-06
111.0,20999.745017617774,894.0232052852615,11325.027471759473,965289.487157098,1491.7171482397523,-1.1599953134733133e-06
112.0,20908.711496869637,814.3508742149006,10409.630869856086,966375.5896922302,1491.7170668293525,2.104445786423665e-06
113.0,20825.38974942773,742.1410715494158,9566.916568610663,967373.835474759,1491.7171356533759,-6.669154928270508e-07
114.0,20749.11115039304,676.6472805573252,8791.314862396792,968291.2096244446,1491.7170822084465,1.5165884071605979e-06
115.0,20679.266810843466,617.2020910504033,8077.65134523472,969134.1626186701,1491.7171342013628,-6.160808686841781e-07
116.0,20615.30314844271,563.210976607119,7421.124715400271,969908.6440648373,1491.7170947128673,1.0242644884338981e-06
117.0,20556.715413037244,514.1411533457374,6817.282893589203,970620.1434001937,1491.717139834272,-8.637387471007672e-07
118.0,20503.044183795784,469.51721722177166,6262.002506957544,971273.7190037975,1491.7170882275589,1.315441678958637e-06
119.0,20453.869956776765,428.9119590157354,5751.465905534749,971874.0350253056,1491.7171533672417,-1.458329064188024e-06
120.0,20408.810733760543,391.94354745593137,5282.1429905293035,972425.3856608501,1491.71706740429,2.230105669520672e-06
121.0,20367.51708554882,358.26807226470504,4850.7695148716475,972931.728175279,1491.7171520359104,-1.4223582459963968e-06
122.0,20329.670776168066,327.57735788900993,4454.330988459497,973396.7038051144,1491.7170723691142,2.045964445427524e-06
123.0,20294.980375966217,299.5935375407206,4090.0432687675498,973823.6656920366,1491.717125689005,-2.8015365674273133e-07
124.0,20263.18015116243,274.0667692509548,3755.337619724797,974215.6983502664,1491.7171095954852,4.268957324653276e-07
125.0,20234.02689637427,250.77163247207204,3447.8443427222,974575.6400230934,1491.7171053381435,6.236221746845778e-07
126.0,20207.29828536277,229.50476956577393,3165.3784788733446,974906.1013335491,1491.7171326490945,-6.017774351922071e-07
127.0,20182.79113039528,210.08257244064208,2905.9265504431937,975209.4826523004,1491.7170944206282,1.1234179257746254e-06
128.0,20160.319227300904,192.33891179275193,2667.6329283614837,975487.9917827004,1491.7171498446473,-1.3925939260083115e-06
129.0,20139.712637587916,176.12365964259172,2448.7892159514763,975743.6574104801,1491.7170763381419,1.9621485769538907e-06
130.0,20120.81523588062,161.30065809905977,2247.821636166384,975978.3453082098,1491.7171616443418,-1.953158134842101e-06
131.0,20103.484791121515,147.74668933104567,2063.28225628182,976193.7692063324,1491.717056933392,2.8803382686605465e-06
132.0,20087.590299765106,135.34984076208153,1893.8379773105323,976391.5047405608,1491.717141601722,-1.0388507539166877e-06
133.0,20073.012510867735,124.0086397361061,1738.2627543006763,976572.9990017646,1491.7170933310827,1.2118818436907732e-06
134.0,20059.64167329684,113.63084741574869,1595.4285240699958,976739.5818471896,1491.7171080280223,5.309244791857453e-07
135.0,20047.3774950088,104.13265325379216,1464.297961219961,976892.47476209,1491.7171284276544,-4.335451315273069e-07
136.0,20036.128098810204,95.43783258131026,1343.9173018560325,977032.7996701829,1491.7170965698533,1.0800450556163436e-06
137.0,20025.809095857894,87.47698823376471,1233.4095247434436,977161.5872514822,1491.7171396828796,-9.756139429371666e-07
138.0,20016.34345822787,80.18697102902685,1131.9687411857751,977279.783735254,1491.7170943035867,1.199501668020501e-06
139.0,20007.660222690178,73.51019950759988,1038.8539793437658,977388.2584535562,1491.7171449025157,-1.2375893917655524e-06
