Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998630.6173705955,259.64781202050807,487.4600576144725,49.10257633235026,573.1721834371684,0.18810015082214074
2.0,998188.2297584895,391.24713964354544,503.56132406253477,98.44224284908357,818.5195349552351,0.0737045437186342
3.0,997888.1069367712,509.04946004049197,541.6349728893797,150.53775295231736,910.6708773465701,0.02620929606660854
4.0,997629.2100139064,622.7119312301759,597.9772600937025,207.37610036042435,942.7246944093839,0.008900510949938455
5.0,997365.8792061219,739.1978470339616,670.7693307498844,270.6800757291207,953.4735403650977,0.0029520655670795142
6.0,997077.6115509174,863.8005412586634,759.5151154581977,342.06068884810054,957.0121035175863,0.0009616389253586481
7.0,996753.1922394242,1000.8500213742017,864.6711934406591,423.1293076945444,958.1572380662899,0.0003086195837251665
8.0,996384.2903736513,1154.1854040133985,987.4211826626229,515.5807377543842,958.5223019181869,9.777666880308281e-05
9.0,995963.0812730527,1327.4770597737386,1129.5462087019894,621.2587787411767,958.6366797303172,3.065416890015064e-05
10.0,995481.2992156423,1524.4551503663301,1293.3590664692158,742.2123191138674,958.6742484082472,1.517291846158921e-05
11.0,994929.7865002166,1749.0807467080326,1481.682040277808,880.747463162696,958.7032496348672,1.3439430553675669e-05
12.0,994298.2656320337,2005.6731997873876,1697.8572062396918,1039.476536908794,958.7274250303535,1.0926241983330915e-05
13.0,993574.7541803223,2299.420823273526,1945.6143256451671,1221.4634285576758,958.7472422012356,8.714647847429096e-06
14.0,992746.0628191495,2635.778442926785,2229.3179934399004,1430.0772266736071,958.763517810156,6.765671982696047e-06
15.0,991797.8169698049,3019.941396910387,2554.4831679397985,1668.9822619152942,958.7762034295768,5.168019003921424e-06
16.0,990712.878285623,3458.4441029441314,2927.3041063644673,1942.5879972854318,958.7855077828225,3.9543552388071735e-06
17.0,989471.3116724213,3959.196474998382,3354.6414821871203,2256.058446311987,958.7919240811441,3.0968103512825953e-06
18.0,988050.3852884994,4531.483923294067,3844.0223851345727,2615.312173048196,958.7962300237178,2.5069773415043333e-06
19.0,986424.5705446398,5185.967354302679,4403.6403211872475,3027.0222920725687,958.7994877976463,2.035912545856388e-06
20.0,984565.5206623484,5934.409735900489,5042.63967433264,3498.6271640327514,958.8027633856452,1.5548942773356887e-06
21.0,982441.2657887323,6788.262116187432,5773.069569272702,4038.5984599347553,958.8040658727264,-1.5559361584987497e-07
22.0,980015.2069142698,7761.4631416244365,6607.808508530226,4656.716482298693,958.8049532767877,-1.5929234358977419e-06
23.0,977246.0974118258,8869.839425957558,7561.149554125666,5364.111518070698,958.8020900201599,3.0399146332392245e-06
24.0,974087.5810960806,10130.975224159236,8649.20600084835,6173.434386829902,958.8032920818706,1.1015921758993904e-06
25.0,970487.7482600331,11564.32043622022,9890.083217171647,7099.044320170591,958.8037664043134,3.234217711408213e-07
26.0,966388.6510099982,13191.274469887885,11304.053273660196,8157.218207510022,958.8030389435662,1.932803419291247e-06
27.0,961725.8716047078,15035.225084744177,12913.723904950148,9366.375568981772,958.8038366160051,2.0318545028749227e-07
28.0,956428.1559791294,17121.52565749516,14744.193967571238,10747.32010663519,958.8042891688586,-7.934754728759361e-07
29.0,950417.1318669661,19477.387475635234,16823.181520048147,12323.495281544143,958.8038558061857,1.6495372538459623e-07
30.0,943607.1747451877,22131.661821701367,19181.109020759242,14121.25130956835,958.8031027831295,1.8549643420736252e-06
31.0,935905.4789487498,25114.47478085937,21851.12539263353,16170.117070315348,958.8038074417329,2.728334157130943e-07
32.0,927212.4079606527,28456.67812012928,24869.03941787035,18503.070255388102,958.804245959395,-7.280119886785881e-07
33.0,917422.1947186403,32189.07290040234,28273.13362168947,21156.79522912107,958.8035301466997,9.267880870534485e-07
34.0,906424.0983329997,36341.36104316896,32103.82221831241,24171.91493639192,958.803469126875,1.080054988635477e-06
35.0,894104.12551546,40940.779067834745,36403.11230899434,27593.178818109027,958.8042896016009,-8.697814386827297e-07
36.0,880347.4112352466,46010.37677629776,41213.822897757374,31469.585061213533,958.804029484665,-2.451379150375032e-07
37.0,865041.3520184874,51566.920210648845,46578.51327084752,35854.41111281914,958.8033871970397,1.337141070879219e-06
38.0,848079.5777079343,57618.419531950094,52538.07809494669,40805.12059929983,958.8040658688989,-3.5661788847763424e-07
39.0,829366.7948399609,64161.31647340103,59129.9734698215,46383.11075988493,958.8044569315472,-1.3744592654347194e-06
40.0,808824.4528857198,71177.43058637803,66386.04906165082,52653.263689033825,958.8037772173392,9.343721012510074e-08
41.0,786397.1152716896,78630.82932027314,74329.98783638082,59683.263715204346,958.8038564519338,4.338567897412313e-08
42.0,762057.9619071265,86467.98531949913,82972.15373265673,67543.09492911502,958.8041116024251,-2.2323247217256392e-07
43.0,735817.2612929174,94610.56194557896,92310.04097819344,76303.33120848084,958.8045748290637,-7.162739457147527e-07
44.0,707738.4649763869,102935.67095853714,102336.89940216477,86030.16066293823,958.8039999728227,-1.0586632237851177e-07
45.0,677924.447273143,111317.42439679429,113009.4503095744,96789.874991169,958.8030293191405,9.310721149952835e-07
46.0,646519.8377299864,119623.97805194638,124249.55190742461,108647.82833992958,958.8039707127895,-1.1177768679642663e-07
47.0,613740.9308546758,127667.92150820725,135976.7256710545,121655.61788660199,958.8040794601767,-2.17608050923586e-07
48.0,579852.1099789665,135254.58804018234,148078.92456278164,135855.5741837934,958.8032342758443,7.969220354147434e-07
49.0,545159.6307637277,142190.79124565722,160411.64853439014,151279.12517284864,958.804283376046,-5.403189436489116e-07
50.0,510012.04211422487,148275.33190002144,172813.52189507333,167940.30072172603,958.8033689541513,7.138071545834317e-07
