Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,987989.3804868576,258.5732370614163,487.39973756795035,49.09796141036822,11215.548577102774,0.2506939235339558
2.0,981141.9382375026,387.7675279279218,503.06043615012385,98.41931791143944,17868.81448050805,0.14271132581839566
3.0,977299.3652745419,502.24617686920186,540.2186316163285,150.42155773612902,21507.748359236564,0.07587643774226291
4.0,975184.3968068699,611.9140964940776,595.0216260314775,207.04758636502214,23401.619884239713,0.03856488306148691
5.0,973999.3367091909,723.6298324373565,665.5993361756199,269.9495123262901,24341.484609869924,0.019152387831251925
6.0,973257.7325255179,842.5798143333959,751.3422387337588,340.6701170167408,24807.67530439821,0.009305882862504127
7.0,972721.9001822325,972.8574324410317,852.6023152967011,420.7345675476812,25031.905502482183,0.004476041817584707
8.0,972260.7038870159,1118.0525113336857,970.4102281915508,511.74123159137054,25139.09214186753,0.002134624706661868
9.0,971806.5021355994,1281.5433182800532,1106.357634834021,615.4205282283788,25190.17638305825,0.0010049048952297966
10.0,971323.2213845674,1466.7184908535892,1262.5276080367241,733.6864318735612,25213.846084668843,0.0004557988987523467
11.0,970784.5062170568,1677.1451178661102,1441.4641079220542,868.6843869465993,25228.20017020861,0.00045650179607207425
12.0,970169.0913893183,1916.690195061061,1646.1747704221161,1022.8377583790796,25245.205886819564,0.0005469195168590626
13.0,969465.6487390102,2189.8583448307163,1880.0565679364963,1198.9506755212674,25265.485672701416,0.0006504377920987093
14.0,968661.6906491565,2501.691851908435,2146.944968176425,1400.1815152544596,25289.49101550435,0.0007679745850776522
15.0,967743.9039465772,2856.749746255431,2451.752778382238,1629.8798097003173,25317.713719084837,0.0009003652890273451
16.0,966696.5912431773,3260.6856970923127,2800.0121140408655,1892.0501817558297,25350.660763933764,0.0010483634993639454
17.0,965501.5768222366,3720.353538652903,3197.8364550406795,2191.380414278986,25388.852769790858,0.001212640698109183
18.0,964138.2066384109,4243.80727018424,3651.9206456714896,2533.241450088771,25432.823995644707,0.00139378625389036
19.0,962583.348317731,4840.3010559465765,4169.54089462455,2923.6873919651744,25483.12233973274,0.0015923074219403527
20.0,960811.5000958724,5520.1786666055605,4758.664388311134,3369.4577301672957,25540.199119043657,0.0016492160851593503
21.0,958832.83336868,6293.456443734674,5429.690886195533,3878.1460805248503,25565.87322086517,0.00026887067454072313
22.0,956605.3877076383,7172.049004300977,6194.018407122313,4458.504364735015,25570.04051620348,4.494176196151365e-05
23.0,954075.0758159264,8169.608687250959,7064.110906137522,5120.473538686761,25570.731051998468,7.64871103982464e-06
24.0,951198.5970826201,9301.257041389455,8053.984642012547,5875.317374394551,25570.843859583456,1.527208276604073e-06
25.0,947930.2997689868,10583.697270420134,9179.351544841598,6735.785018443671,25570.866397307997,3.3806025045053895e-07
26.0,944219.7756999593,12035.289737632267,10457.766882268992,7716.287306541377,25570.880373598247,-8.481971181163545e-07
27.0,940011.1601443033,13676.098869337813,11908.774047808807,8833.089158941902,25570.877779608323,-6.346305701084265e-07
28.0,935242.6924170275,15527.888249715093,13554.040554931726,10104.514823993017,25570.863954332763,5.392638312393764e-07
29.0,929846.4543213431,17614.057476292463,15417.473890141897,11551.166709160105,25570.847603062488,1.9428566907861456e-06
30.0,923748.1854047775,19959.4937077714,17525.306685705506,13196.15364529549,25570.860556450214,8.405480717153662e-07
31.0,916867.3494065219,22590.313805941198,19906.136294108128,15065.325568310953,25570.874925117892,-4.009154288112169e-07
32.0,909117.2414197106,25533.47252189914,22590.897890078857,17187.509730562026,25570.87843774961,-7.125374227670789e-07
33.0,900405.4362111518,28816.19697559923,25612.749776140805,19594.739481772915,25570.877555335468,-6.426104588274805e-07
34.0,890634.6075678925,32465.214596031845,29006.843264165833,22322.465852511934,25570.868719397975,1.357904674277335e-07
35.0,879703.7242736957,36505.74166587229,32809.94297405466,25409.739955715966,25570.851130661496,1.7142741547341587e-06
36.0,867509.732301197,40960.19586275985,37059.863586267704,28899.34813256163,25570.86011721397,9.207870536076605e-07
37.0,853949.9559473093,45846.5962217124,41794.69298650854,32837.877847732685,25570.87699673731,-6.161506949415176e-07
38.0,838925.0037573623,51176.672447117424,47051.74859813895,37275.697045721725,25570.878151659817,-7.34896412429089e-07
